recipe_urls,recipe_name,serves,cooking_time,difficulty,ingredients,nutrition,ingredients_parsed
https://www.jamieoliver.com/recipes/pasta-recipes/veggie-pasta-bake/,Veggie pasta bake,8                                                                                                            ,1 hour                                                    ,"Not too tricky                                                    
","['½ x 170g loaf of garlic bread', 'olive oil', '2 cloves of garlic', '2 leeks', '1 bunch of fresh basil , (30g)', '2 teaspoons dried oregano', '3 x 400g tins of plum tomatoes', '500 g dried pasta , such as orecchiette, conchiglie or gemelli', '50 g Parmesan cheese , plus extra to serve', '8 cubes of frozen spinach']","{'Calories': '529', 'Fat': '14.8g', 'Saturates': '4.6g', 'Sugars': '13.1g', 'Salt': '1.4g', 'Protein': '22.9g', 'Carbs': '98.8g', 'Fibre': '3.1g'}",garlic bread garlic leek basil oregano plum tomato pasta conchiglie gemelli parmesan cheese spinach
https://www.jamieoliver.com/recipes/chicken-recipes/garlic-chicken/,Garlic chicken,2                                                                                                            ,18 minutes                                                    ,"Not too tricky                                                    
","['4 cloves of garlic', '2 x 150g skinless free-range chicken breasts', '½ x 700g jar of chickpeas', '250 g baby spinach', '1 heaped teaspoon sumac']","{'Calories': '406', 'Fat': '13.3g', 'Saturates': '2.2g', 'Sugars': '3.1g', 'Salt': '1.3g', 'Protein': '48.8g', 'Carbs': '23.2g', 'Fibre': '1.1g'}",garlic chicken breast chickpea spinach sumac
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-chips/,Chicken & chips,4                                                                                                            ,1 hour 18 minutes                                                    ,"Not too tricky                                                    
","['1kg red-skinned potatoes', '2 onions', '1 bunch of oregano (20g)', '2 lemons', '4 x 250g free-range chicken legs']","{'Calories': '615', 'Fat': '30.2g', 'Saturates': '7.2g', 'Sugars': '6.8g', 'Salt': '0.9g', 'Protein': '38g', 'Carbs': '50.8g', 'Fibre': '4.6g'}",skinned potato onion oregano lemon chicken
https://www.jamieoliver.com/recipes/pasta-recipes/sweet-pea-orecchiette/,Sweet pea orecchiette,4                                                                                                            ,30 minutes                                                    ,"Not too tricky                                                    
","['600g potatoes', '1 bunch of spring onions', '320g frozen peas', '300g dried orecchiette', '80g pecorino cheese, plus extra to serve']","{'Calories': '577', 'Fat': '15.9g', 'Saturates': '5.7g', 'Sugars': '5g', 'Salt': '0.9g', 'Protein': '21.9g', 'Carbs': '92.4g', 'Fibre': '6.6g'}",potato onion pea orecchiette
https://www.jamieoliver.com/recipes/fruit-recipes/island-salad/,Island salad,2                                                                                                            ,15 minutes                                                    ,"Not too tricky                                                    
","['1 cucumber', '2 pittas', '1 x 415g tin of sliced peaches in juice', '120g mixed salad leaves', '60g halloumi cheese']","{'Calories': '361', 'Fat': '15.2g', 'Saturates': '6g', 'Sugars': '12.3g', 'Salt': '1.3g', 'Protein': '15.9g', 'Carbs': '39.8g', 'Fibre': '4.1g'}",cucumber pitta peach salad halloumi cheese
https://www.jamieoliver.com/recipes/steak-recipes/herby-steak-crispy-potatoes/,Herby steak & crispy potatoes,2                                                                                                            ,30 minutes                                                    ,"Not too tricky                                                    
","['500 g red-skinned potatoes', '1 x 300g higher-welfare sirloin steak', '4 teaspoons fresh green pesto , or pistou', '6 ripe medium mixed-colour tomatoes', '20 g shelled unsalted pistachios']","{'Calories': '735', 'Fat': '42.1g', 'Saturates': '11.7g', 'Sugars': '9.5g', 'Salt': '1.4g', 'Protein': '40g', 'Carbs': '51.8g', 'Fibre': '6.4g'}",skinned potato sirloin steak pesto pistou tomato pistachio
https://www.jamieoliver.com/recipes/chicken-recipes/lemon-tzatziki-chicken/,Lemon-tzatziki chicken,4                                                                                                            ,2 hours plus marinating                                                    ,"Not too tricky                                                    
","['1 x 1.5kg whole free-range chicken', '2 x 200g tubs of tzatziki', '2 lemons', '4 mixed-colour onions', '300 g basmati rice']","{'Calories': '682', 'Fat': '15.6g', 'Saturates': '5.8g', 'Sugars': '13g', 'Salt': '2.4g', 'Protein': '61.4g', 'Carbs': '79g', 'Fibre': '5g'}",chicken tub tzatziki lemon onion rice
https://www.jamieoliver.com/recipes/vegetable-recipes/minty-courgette-tart/,Minty courgette tart,4 to 6                                                                                                            ,1 hour 35 minutes                                                    ,"Not too tricky                                                    
","['1.5 kg courgettes', '1 heaped teaspoon dried mint', '320 g sheet of ready-rolled puff pastry (cold)', '6 teaspoons black olive tapenade', ""80 g goat's cheese""]","{'Calories': '584', 'Fat': '41.8g', 'Saturates': '15.8g', 'Sugars': '7.5g', 'Salt': '1.3g', 'Protein': '15.9g', 'Carbs': '50.9g', 'Fibre': '5.4g'}",courgette sheet ready rolled puff pastry tapenade cheese
https://www.jamieoliver.com/recipes/fish-recipes/sweet-potato-fishcakes/,Sweet potato fishcakes,4                                                                                                            ,1 hour 10 minutes                                                    ,"Not too tricky                                                    
","['500 g potatoes', '500 g sweet potatoes', '2 red peppers', 'extra virgin olive oil', '2 teaspoons chipotle Tabasco sauce', '500 g white fish fillets from sustainable sources , skin off, pin-boned', 'olive oil', '1 cucumber', '1 iceburg lettuce', '1 heaped teaspoon English mustard', '4 heaped tablespoons natural yoghurt', '1 tablespoon white wine vinegar', '40 g feta cheese', '½ a bunch of fresh mint , (15g)', '1 lemon']","{'Calories': '423', 'Fat': '8.6g', 'Saturates': '2.7g', 'Sugars': '16g', 'Salt': '1.1g', 'Protein': '32.5g', 'Carbs': '56.9g', 'Fibre': '8.4g'}",potato potato chipotle tabasco fish fillet boned cucumber iceburg lettuce yoghurt wine feta cheese lemon
https://www.jamieoliver.com/recipes/chicken-recipes/spring-chicken-stew/,Spring chicken stew,4                                                                                                            ,1 hour 10 minutes                                                    ,"Not too tricky                                                    
","['olive oil', '2 rashers of higher-welfare smoked streaky bacon', '2 sprigs of fresh rosemary', '2 onions', '2 carrots', '400 g new potatoes', '100 g pearl barley', '1 heaped tablespoon plain wholemeal flour', '500 ml organic chicken stock', '500 ml semi-skimmed milk', '2 courgettes', '1 bunch of asparagus , (350g)', '200 g green beans', '4 x 120 g free-range skinless chicken breasts', '1 tablespoon mint sauce']","{'Calories': '549', 'Fat': '12.5g', 'Saturates': '3.6g', 'Sugars': '20.5g', 'Salt': '0.8g', 'Protein': '48.2g', 'Carbs': '64.8g', 'Fibre': '7.2g'}",bacon sprig onion carrot potato pearl barley wholemeal flour chicken stock semi skimmed milk courgette asparagus bean chicken breast
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-goujons/,Chicken goujons,4                                                                                                            ,23 minutes                                                    ,"Not too tricky                                                    
","['6 wholemeal pittas', '4 x 120 g free-range skinless chicken breasts', '1 bunch of fresh basil , (30g)', '1 large free-range egg', '2 cloves of garlic', '20 g Parmesan cheese', '1 lemon', '4 heaped tablespoons Greek yoghurt', '1 ripe avocado', 'chipotle Tabasco sauce', 'extra virgin olive oil', '2 little gem lettuces', '320 g ripe cherry tomatoes']","{'Calories': '520', 'Fat': '15.5g', 'Saturates': '5.2g', 'Sugars': '8.1g', 'Salt': '1.5g', 'Protein': '47.2g', 'Carbs': '48.3g', 'Fibre': '7.2g'}",wholemeal pitta chicken breast basil egg garlic parmesan cheese lemon greek yoghurt avocado chipotle tabasco gem lettuce cherry tomato
https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-and-sour-stir-fry/,Sweet & sour stir-fry,2                                                                                                            ,21 minutes                                                    ,"Super easy                                                    
","['100 g fine rice noodles', '1 x 227 g tin of pineapple chunks in juice', '2 heaped teaspoons cornflour', '1 tablespoon cider vinegar', '2 teaspoons low-salt soy sauce', '2 teaspoons sesame seeds', '30 g cashew nuts', '4 spring onions', '2 cloves of garlic', '2 cm piece of ginger', '1 fresh red chilli', '200 g sugarsnap peas', 'groundnut oil', '200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts', '1 lime']","{'Calories': '492', 'Fat': '16.7g', 'Saturates': '3.1g', 'Sugars': '20.4g', 'Salt': '0.6g', 'Protein': '14.8g', 'Carbs': '70.7g', 'Fibre': '4.4g'}",rice noodle pineapple cornflour soy sesame cashew onion garlic ginger sugarsnap pea sprout alfalfa chickpea beansprouts lime
https://www.jamieoliver.com/recipes/pasta-recipes/sardine-spaghetti/,Sardine spaghetti,4                                                                                                            ,30 minutes                                                    ,"Not too tricky                                                    
","['2 large ripe tomatoes , (200g)', '1 x 120 g tin of sardine fillets in olive oil', '200 g baby spinach', '300 g dried wholewheat spaghetti', '1 bulb of fennel', '2 lemons', '20 g ricotta salata', '1 pinch of dried chilli flakes']","{'Calories': '217', 'Fat': '7g', 'Saturates': '2.1g', 'Sugars': '4.6g', 'Salt': '0.73g', 'Protein': '14.8g', 'Carbs': '25.6g', 'Fibre': '4.5g'}",tomato sardine fillet spinach wholewheat spaghetti lemon ricotta salata
